word,count
suffered,912
plans,912
"york,",912
played,912
anxious,912
increasing,912
week,912
prolonged,912
knowledge,912
'i,912
feared,912
breaking,912
_clinical,912
shoulders,912
commonly,912
sleep,912
pity,912
"think,",912
permanent,912
supply,912
pulled,912
"vessels,",912
fond,896
raw,896
inhabitants,896
famous,896
wilson,896
acts,896
gentleman,896
reaching,896
planting,896
greatly,896
"god,",896
diagnosis,896
respect,896
"parts,",896
fighting,896
obvious,896
"boris,",896
surprise,896
advantage,896
hurried,896
rostov's,896
striking,896
"joint,",896
dmitrievna,896
information,896
"herself,",896
ladies,896
kill,896
4.,896
founded,896
"part,",896
side.,880
"position,",880
position.,880
destroy,880
"regiment,",880
accept,880
spring,880
earth,880
"fellow,",880
vary,880
gathered,880
heard.,880
partly,880
august,880
joint.,880
insisted,880
mean,880
"work,",880
masses,880
piece,880
abandoned,880
you're,880
"to,",880
wore,880
immediate,880
shaft,880
"officers,",880
"aneurysm,",880
conduct,880
listen,880
"surface,",880
address,880
groups,864
joy,864
determined,864
based,864
opportunity,864
fifteen,864
street.,864
warm,864
serve,864
mississippi,864
issued,864
ashamed,864
beg,864
iron,864
makes,864
indicated,864
burned,864
foundation,864
current,864
explained,864
theory,864
details,864
die,864
operations,864
say.,864
search,864
"\"don't",864
"continued,",864
loud,864
"were,",864
amputation,864
attitude,864
silent.,864
shadow,864
weight,864
causing,864
narrow,864
right.,848
stern,848
chest,848
rare,848
"horses,",848
examination,848
widely,848
power.,848
"\"when",848
sovereign,848
action.,848
arrested,848
indeed,848
william,848
diplomatic,848
edges,848
spot,848
injection,848
"more,",848
awaiting,848
"case,",848
"thin,",848
sensation,848
receiving,848
interesting,848
leaning,848
portions,848
century,848
multiple,848
slow,832
legislature,832
healthy,832
capable,832
this.,832
admitted,832
"arm,",832
"\"she",832
attacks,832
"tumour,",832
domain,832
do.,832
forming,832
useful,832
"are,",832
"act,",832
expect,832
freely,832
moment.,832
cossack,832
angrily,832
friendly,832
parties,832
servants,832
police,832
worn,832
torn,832
"states_,",832
draw,832
"virginia,",832
wife's,832
towns,832
recognize,816
dropped,816
circle,816
tend,816
material,816
deal,816
mixed,816
mrs.,816
recent,816
(2),816
"world,",816
opposed,816
keeping,816
fields,816
days.,816
overlying,816
playing,816
mary's,816
off.,816
enlarged,816
moral,816
denisov's,816
uttered,816
intended,816
edge,816
ourselves,816
ohio,816
recalled,816
resembling,816
majesty,816
protective,816
speech,816
forest,816
holy,816
dreadful,816
"party,",816
scattered,816
hurriedly,816
"president,",816
settlement,800
transferred,800
highly,800
situated,800
promise,800
imperial,800
rooms,800
roosevelt,800
replaced,800
ship,800
jumped,800
spreading,800
protection,800
(the,800
tikhon,800
"themselves,",800
created,800
splendid,800
problems,800
however,800
crossing,800
"present,",800
aware,800
deeper,800
principle,800
maid,800
streets,800
raise,800
politics,800
remove,800
facts,800
muttered,800
